UTC Timestamp Start,UTC Timestamp End,Channel,Title,Description,Duration (Mins),Date (Local),Time (Local)
2025-10-06T22:05:00+00:00,2025-10-06T23:05:00+00:00,Virgin Media One,Trauma Room One,"We're in the operating theatres of the UK's busiest neurology and neurosurgery hospital, with some of the world's best surgeons as they fight to bring those on the edge, back to life.",60,2025-10-06,11.05pm - 12.05am
2025-10-05T23:05:00+00:00,2025-10-06T00:05:00+00:00,Virgin Media One,World's Greatest Hotels,Go behind the scenes at the planet’s most iconic establishments in this exclusive series.,60,2025-10-06,12.05am - 1.05am
2025-10-06T00:05:00+00:00,2025-10-06T01:03:00+00:00,Virgin Media One,Yorkshire Ripper: Secret Murders,"The investigation into the crimes of serial killer Peter Sutcliffe, known as the Yorkshire Ripper, and the missed opportunities to charge him for his earlier unacknowledged crimes.",58,2025-10-06,1.05am - 2.03am
2025-10-06T04:25:00+00:00,2025-10-06T05:15:00+00:00,Virgin Media One,Alphabetical,"Alphabetical is a fast-paced quiz show, which sees three contestants compete against a returning champion in a series of games based around the alphabet.",50,2025-10-06,5.25am - 6.15am
2025-10-06T05:15:00+00:00,2025-10-06T06:00:00+00:00,Virgin Media One,The Six O'Clock Show,"A lively mix of celebrity chat with national and international guests, fabulous food from the country’s top Chefs, expert advice and all the unmissable stories making the headlines.",45,2025-10-06,6.15am - 7.00am
2025-10-06T06:00:00+00:00,2025-10-06T09:00:00+00:00,Virgin Media One,Ireland AM,"Ireland AM is the longest running daytime show in Ireland. Blending a mixture of lifestyle interviews and news content, with gardening, health, food and fashion seven days a week.",180,2025-10-06,7.00am - 10.00am
2025-10-06T09:00:00+00:00,2025-10-06T11:30:00+00:00,Virgin Media One,This Morning,"A mix of celebrity interviews, entertainment news, current affairs discussions, a look at sports competitions, health columns, cooking tips and tricks, and more.",150,2025-10-06,10.00am - 12.30pm
2025-10-06T11:30:00+00:00,2025-10-06T12:00:00+00:00,Virgin Media One,News at 12:30,"The latest national and international news stories from the Virgin Media News team, followed by sport and weather.",30,2025-10-06,12.30pm - 1.00pm
2025-10-06T12:00:00+00:00,2025-10-06T13:00:00+00:00,Virgin Media One,The Chase,"Huge global hit game show The Chase is the ultimate heart-racing, high-pressure quiz.",60,2025-10-06,1.00pm - 2.00pm
2025-10-06T13:00:00+00:00,2025-10-06T14:00:00+00:00,Virgin Media One,The Chase,"Huge global hit game show The Chase is the ultimate heart-racing, high-pressure quiz.",60,2025-10-06,2.00pm - 3.00pm
2025-10-06T14:00:00+00:00,2025-10-06T15:00:00+00:00,Virgin Media One,Loose Women,"Loose Women as they chat about news, issues and life in general.",60,2025-10-06,3.00pm - 4.00pm
