channelName,channelAbbreviation,startTime_UTC,endTime_UTC,duration (minutes),programmeTitle,title,genreTitle,synopsis,live,hiDef
FOX League,LEAGUE,2025-10-23T13:00:00+00:00,2025-10-23T17:00:00+00:00,240,Sport Special,Sport Special,Undefined,,False,True
FOX Cricket,CRICKET,2025-10-23T13:00:00+00:00,2025-10-23T17:00:00+00:00,240,Sport Special,Sport Special,Undefined,,False,True
FOX Cricket,CRICKET,2025-10-23T17:00:00+00:00,2025-10-23T21:00:00+00:00,240,Sport Special,Sport Special,Undefined,,False,True
FOX League,LEAGUE,2025-10-23T17:00:00+00:00,2025-10-23T21:00:00+00:00,240,Sport Special,Sport Special,Undefined,,False,True
FOX League,LEAGUE,2025-10-23T21:00:00+00:00,2025-10-24T01:00:00+00:00,240,Sport Special,Sport Special,Undefined,,False,True
FOX Cricket,CRICKET,2025-10-23T21:00:00+00:00,2025-10-24T00:55:00+00:00,235,Sport Special,Sport Special,Undefined,,False,True
FOX Cricket,CRICKET,2025-10-24T00:55:00+00:00,2025-10-24T01:40:00+00:00,45,Moto3,Grand Prix of Malaysia Practice 1,Racing,,True,True
FOX League,LEAGUE,2025-10-24T01:00:00+00:00,2025-10-24T05:00:00+00:00,240,Sport Special,Sport Special,Undefined,,False,True
FOX Cricket,CRICKET,2025-10-24T01:40:00+00:00,2025-10-24T02:35:00+00:00,55,Moto2,Grand Prix of Malaysia Practice 1,Racing,,True,True
FOX Cricket,CRICKET,2025-10-24T02:35:00+00:00,2025-10-24T03:47:00+00:00,72,MotoGP,Malaysia Practice 1,Racing,,True,True
FOX Cricket,CRICKET,2025-10-24T03:47:00+00:00,2025-10-24T05:10:00+00:00,83,Sport Special,Sport Special,Undefined,,False,True
FOX League,LEAGUE,2025-10-24T05:00:00+00:00,2025-10-24T09:00:00+00:00,240,Sport Special,Sport Special,Undefined,,False,True
FOX Cricket,CRICKET,2025-10-24T05:10:00+00:00,2025-10-24T05:55:00+00:00,45,Moto3,Grand Prix of Malaysia Practice 2,Racing,,True,True
FOX Cricket,CRICKET,2025-10-24T05:55:00+00:00,2025-10-24T06:50:00+00:00,55,Moto2,Grand Prix of Malaysia Practice 2,Racing,,True,True
FOX Cricket,CRICKET,2025-10-24T06:50:00+00:00,2025-10-24T08:12:00+00:00,82,MotoGP,Malaysia Practice 2,Racing,,True,True
FOX Cricket,CRICKET,2025-10-24T08:12:00+00:00,2025-10-24T09:00:00+00:00,48,Sport Special,Sport Special,Undefined,,False,True
FOX Cricket,CRICKET,2025-10-24T09:00:00+00:00,2025-10-24T13:00:00+00:00,240,Sport Special,Sport Special,Undefined,,False,True
FOX League,LEAGUE,2025-10-24T09:00:00+00:00,2025-10-24T13:00:00+00:00,240,Sport Special,Sport Special,Undefined,,False,True
FOX League,LEAGUE,2025-10-24T13:00:00+00:00,2025-10-24T17:00:00+00:00,240,Sport Special,Sport Special,Undefined,,False,True
FOX Cricket,CRICKET,2025-10-24T13:00:00+00:00,2025-10-24T17:00:00+00:00,240,Sport Special,Sport Special,Undefined,,False,True
FOX Cricket,CRICKET,2025-10-24T17:00:00+00:00,2025-10-24T21:00:00+00:00,240,Sport Special,Sport Special,Undefined,,False,True
FOX League,LEAGUE,2025-10-24T17:00:00+00:00,2025-10-24T21:00:00+00:00,240,Sport Special,Sport Special,Undefined,,False,True
FOX League,LEAGUE,2025-10-24T21:00:00+00:00,2025-10-25T01:00:00+00:00,240,Sport Special,Sport Special,Undefined,,False,True
FOX Cricket,CRICKET,2025-10-24T21:00:00+00:00,2025-10-25T01:00:00+00:00,240,Sport Special,Sport Special,Undefined,,False,True
FOX Cricket,CRICKET,2025-10-25T01:00:00+00:00,2025-10-25T03:00:00+00:00,120,Sport Special,Sport Special,Undefined,,False,True
FOX League,LEAGUE,2025-10-25T01:00:00+00:00,2025-10-25T05:00:00+00:00,240,Sport Special,Sport Special,Undefined,,False,True
FOX Cricket,CRICKET,2025-10-25T03:00:00+00:00,2025-10-25T03:30:00+00:00,30,Pre Game,AUS v IND,Cricket,,True,True
FOX Cricket,CRICKET,2025-10-25T03:30:00+00:00,2025-10-25T07:00:00+00:00,210,ODI AUS v IND,Game 3 IN1,Cricket,,True,True
FOX League,LEAGUE,2025-10-25T05:00:00+00:00,2025-10-25T09:00:00+00:00,240,Sport Special,Sport Special,Undefined,,False,True
FOX Cricket,CRICKET,2025-10-25T07:00:00+00:00,2025-10-25T07:30:00+00:00,30,The Big Break,AUS v IND,Cricket,,True,True
FOX Cricket,CRICKET,2025-10-25T07:30:00+00:00,2025-10-25T11:00:00+00:00,210,ODI AUS v IND,Game 3 IN2,Cricket,,True,True
FOX League,LEAGUE,2025-10-25T09:00:00+00:00,2025-10-25T13:00:00+00:00,240,Sport Special,Sport Special,Undefined,,False,True
FOX Cricket,CRICKET,2025-10-25T11:00:00+00:00,2025-10-25T11:15:00+00:00,15,Post Game,AUS v IND,Sport,Join the Fox Cricket team for the best review from the day of cricket with this Post Game show.,True,True
FOX Cricket,CRICKET,2025-10-25T11:15:00+00:00,2025-10-25T13:00:00+00:00,105,Sport Special,Sport Special,Undefined,,False,True
FOX Cricket,CRICKET,2025-10-25T13:00:00+00:00,2025-10-25T17:00:00+00:00,240,Sport Special,Sport Special,Undefined,,False,True
FOX League,LEAGUE,2025-10-25T13:00:00+00:00,2025-10-25T17:00:00+00:00,240,Sport Special,Sport Special,Undefined,,False,True
FOX League,LEAGUE,2025-10-25T17:00:00+00:00,2025-10-25T21:00:00+00:00,240,Sport Special,Sport Special,Undefined,,False,True
FOX Cricket,CRICKET,2025-10-25T17:00:00+00:00,2025-10-25T21:00:00+00:00,240,Sport Special,Sport Special,Undefined,,False,True
